Cbo,CboModified,Dit,Lcom,Lcom2,Loc,RepositoryName
4,4.5,1,3,0,11557,huanghaibin-dev/CalendarView
2,6,1,6,0.33333334,3952,newbee-ltd/newbee-mall
4,8,1,3,0,16056,Netflix/SimianArmy
3,6,1,1,0,5204,jwtk/jjwt
3,5,1,0,0,11830,guolindev/LitePal
7,8,1,6,0,384,JakeWharton/hugo
6,6,1,0,0,2368,trello/RxLifecycle
4,7,1,0,0,16784,hs-web/hsweb-framework
2,4,1,1.5,0.52083335,6506,shwenzhang/AndResGuard
3,3,1,0,0,18214,square/moshi
4,5,2,1,0,31003,airbnb/epoxy
3,3,1,3,0,2633,kaushikgopal/RxJava-Android-Samples
4,5,1,0,0,24794,dropwizard/metrics
3,3,1,0,0,26165,OpenFeign/feign
1,2,1,0,0.25,22,aritraroy/UltimateAndroidReference
3,4,1,13,0,100941,macrozheng/mall-swarm
4,5,1,0,0,10897,google/agera
3,3,1,0,0,8043,square/dagger
2.5,3,1,0,0,659,react-native-image-picker/react-native-image-picker
5,6,1,0,0,131644,facebook/litho
3,7,1,2,0.59999996,10389,Bearded-Hen/Android-Bootstrap
3,3,1,0,0,16083,cymcsg/UltimateRecyclerView
4,7,1,0,0,21442,apache/shardingsphere-elasticjob
3,7,1,1,0,10995,lecho/hellocharts-android
4,4,1,0,0,26463,JakeWharton/ActionBarSherlock
2,3,1,1,0,18382,vipshop/vjtools
3,4,1,1,0,931,geeeeeeeeek/WeChatLuckyMoney
5,6.5,1,1,0,5502,google/tsunami-security-scanner
2,3,1,0,0,18082,koush/AndroidAsync
5,6,1,1,0.5,885,leolin310148/ShortcutBadger
0,0,0,0,0,0,doocs/jvm
4,6,1,0,0.21428572,35528,signalapp/Signal-Server
0,0,0,0,0,0,doocs/source-code-hunter
2,3,1,0,0,1987,doocs/leetcode
2.5,4,1,0,0,1961,hongyangAndroid/okhttputils
2,4,1,1,0,8714,google/android-classyshark
3,4,1,0,0,29380,Qihoo360/RePlugin
5,6,1,1,0,388750,apache/cassandra
3,5,1,0,0,31361,swagger-api/swagger-core
4,6,1,1,0,13492,dyc87112/SpringCloud-Learning
1,4,1,0,0,3328,barteksc/AndroidPdfViewer
4,5,1,0,0.375,21507,kevin-wayne/algs4
3,3,2,0,0,104054,java-native-access/jna
5,7,2,8,0,2370,hongyangAndroid/AndroidAutoLayout
5,7,1,0,0,2899,zhoutaoo/SpringCloud
2,3,1,0,0,9110,goldze/MVVMHabit
2,2,3,0,0,22301,DroidPluginTeam/DroidPlugin
3,4,1,0,0,21819,naman14/Timber
4,6,1,0,0,17425,abel533/Mapper
3,4,1,0,0,4004,KunMinX/Jetpack-MVVM-Best-Practice
5,8,1,1,0,477445,apache/jena
4,6,1,1,0,21905,Shouheng88/MarkNote
3,4,1,0,0,709742,BiglySoftware/BiglyBT
4,4,1,0,0,1853,saturnism/grpc-by-example-java
2,5,1,0,0,5935,SQiShER/java-object-diff
2,2,1.5,0,0,462,iammert/InteractivePlayerView
6,8,1,1,0,33094,essentials/Essentials
2,2,1,0,0,161104,typetools/checker-framework
3,4,1,0,0,65204,ngs-doo/dsl-json
3,3,1,0,0,2244,bxbxbai/ZhuanLan
2,3,1,0,0,1791,Aspsine/IRecyclerView
3,5,1,0,0,7393,stathissideris/ditaa
2,5,1,0,0,13353,antlr/stringtemplate4
5,8,1,0,0.2857143,48299,neo4j-contrib/neo4j-graph-algorithms
1,1,1,0,0,2552,jhipster/prettier-java
3,4,1,0,0,8087,burgessjp/GanHuoIO
3,4,1,0,0,422,saket/Better-Link-Movement-Method
3.5,3.5,2,0.5,0.37962962499999997,840,tozny/java-aes-crypto
3,4,1,0,0,13421,cicadasmile/middle-ware-parent
4,5,1,0,0,2202,gaugesapp/gauges-android
4.5,7.5,1,0,0,167,xaverkapeller/Searchable-RecyclerView-Demo
2,2,1,0,0,1327,edmodo/range-bar
2,3,1,1,0.33333334,316,threedr3am/JSP-Webshells
5,6,1,0,0,14591,objectify/objectify
2,2,1.5,0,0,120,dynamitechetan/Flowing-Gradient
3,4,1,0,0,1440,HaarigerHarald/android-youtubeExtractor
1.5,3,1,0,0,921,kaedea/android-mvp-pattern
3,4,1,21,0,32330,dianbaer/anychat
5,8,1,1,0.33333334,11634,Swati4star/Images-to-PDF
